--------- beginning of system
09-17 11:10:23.585  1469  1501 E storaged: getDiskStats failed with result NOT_SUPPORTED and size 0
--------- beginning of main
09-17 11:10:23.669  4945  4945 I appproc : app_process main with argv: /system/bin com.android.commands.input.Input tap 952 795 
09-17 11:10:23.669  4945  4945 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
09-17 11:10:23.672  4945  4945 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:43.713  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:43.713  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:43.713  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:43.722  7748  7748 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:43.726  7801  7801 D su      : waiting for child exit
09-17 11:10:43.729  7838  7838 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963528 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:43.737  7835  7835 D su      : child exited
09-17 11:10:43.739  7814  7814 D su      : sending code
09-17 11:10:43.746  7857  7857 D su      : child exited
09-17 11:10:43.751  7858  7858 D su      : client exited 1
09-17 11:10:43.753  7743  7743 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:43.759  7859  7859 D su      : sending code
09-17 11:10:43.762  7818  7818 D su      : client exited 1
09-17 11:10:43.763  7828  7828 D su      : client exited 1
09-17 11:10:43.764  7861  7861 D su      : child exited
09-17 11:10:43.774  7836  7836 D su      : client exited 1
09-17 11:10:43.778  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:43.778  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:43.778  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:43.778  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:43.778  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:43.778  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:43.778  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:43.778  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:43.778  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:43.778  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:43.778  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:43.778  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:43.778  7644  7644 D AndroidRuntime: Shutting down VM
09-17 11:10:43.792  7748  7748 D AndroidRuntime: Shutting down VM
09-17 11:10:43.794  7808  7808 D su      : client exited 1
09-17 11:10:43.796  7822  7822 D su      : Allowing shell.
09-17 11:10:43.812  7750  7750 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:43.815  7634  7634 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:43.821  7551  7551 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:43.821  7750  7750 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:43.821  7551  7551 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:43.821  7551  7551 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:43.821  7551  7551 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:43.821  7551  7551 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:43.822  7631  7631 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:43.822  7556  7556 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:43.823  7683  7683 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:43.823  7712  7712 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:43.824  7743  7743 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:43.825  7820  7820 D su      : client exited 1
09-17 11:10:43.827  7631  7631 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:43.829  7712  7712 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:43.831  7683  7683 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:43.831  7634  7634 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:43.834  7743  7743 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:43.837  7866  7866 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963056 count=4 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:43.838  7556  7556 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:43.842  7863  7863 D su      : client exited 1
09-17 11:10:43.862  7862  7862 D su      : sending code
09-17 11:10:43.894  7875  7875 D su      : child exited
09-17 11:10:43.904  7876  7876 D su      : client exited 1
09-17 11:10:43.905  7872  7872 D su      : sending code
09-17 11:10:43.909  7750  7750 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:43.909  7750  7750 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:43.910  7750  7750 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:43.910  7750  7750 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:43.910  7750  7750 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:43.915  7743  7743 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:43.915  7743  7743 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:43.915  7743  7743 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:43.915  7743  7743 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:43.915  7743  7743 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:43.919  7683  7683 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:43.919  7683  7683 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:43.919  7631  7631 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:43.920  7631  7631 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:43.920  7683  7683 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:43.920  7683  7683 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:43.920  7683  7683 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:43.920  7631  7631 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:43.920  7631  7631 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:43.920  7631  7631 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:43.923  7556  7556 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:43.924  7556  7556 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:43.924  7556  7556 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:43.924  7556  7556 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:43.924  7556  7556 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:43.927  7712  7712 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:43.928  7712  7712 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:43.928  7712  7712 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:43.928  7712  7712 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:43.928  7712  7712 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:43.930  7879  7879 D su      : child exited
09-17 11:10:43.941  7712  7712 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:43.946  3856  3949 I         : 
09-17 11:10:43.946  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:43.946  3856  3949 I [11:10:43.946] M : [ERROR] Bundle::iterator::unpack( authenticate ): Not enough data on stream at 11 for payload (1 left, needed 4)
09-17 11:10:43.946  3856  3949 I         : 
09-17 11:10:43.946  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:43.946  3856  3949 I [11:10:43.946] M : [ERROR] Bundle::iterator::unpack: Got corrupted message header
09-17 11:10:43.946  3856  3949 I         : 
09-17 11:10:43.946  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:43.946  3856  3949 I [11:10:43.946] M : [ERROR] Nub::processOrderedPacket( 172.16.1.2:25010 ): Discarding bundle due to corrupted header for message id 0
09-17 11:10:43.946  3856  3949 I         : WARNING ***************************************************************************
09-17 11:10:43.946  3856  3949 I [11:10:43.946] M : [WARNING] MainApp::poll: poll returned unexpectedly (REASON_CORRUPTED_PACKET).
09-17 11:10:43.952  7556  7556 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:43.953  7743  7743 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:43.960  7683  7683 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:43.965  7631  7631 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:43.968  7750  7750 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:43.980  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:43.980  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:43.980  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:43.980  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:43.980  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:43.980  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:43.980  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:43.980  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:43.980  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:43.980  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:43.980  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:43.980  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:43.982  7551  7551 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:43.986  7880  7880 D su      : client exited 1
09-17 11:10:43.988  7743  7743 D AndroidRuntime: Shutting down VM
09-17 11:10:44.017  7930  7930 D su      : sending code
09-17 11:10:44.019  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:44.019  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:44.019  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:44.019  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:44.019  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:44.019  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:44.019  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:44.019  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:44.019  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:44.019  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:44.019  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:44.019  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:44.021  7556  7556 D AndroidRuntime: Shutting down VM
09-17 11:10:44.024  7810  7810 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:44.024  7810  7810 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:44.030  7810  7810 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:44.034  7837  7837 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:44.035  7837  7837 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:44.035  7931  7931 D su      : child exited
09-17 11:10:44.037  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:44.037  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:44.037  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:44.037  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:44.037  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:44.037  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:44.037  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:44.037  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:44.037  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:44.037  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:44.037  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:44.037  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:44.038  7683  7683 D AndroidRuntime: Shutting down VM
09-17 11:10:44.040  7837  7837 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:44.045  7932  7932 D su      : client exited 1
09-17 11:10:44.051  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:44.051  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:44.051  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:44.051  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:44.051  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:44.051  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:44.051  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:44.051  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:44.051  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:44.051  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:44.051  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:44.051  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:44.057  7712  7712 D AndroidRuntime: Shutting down VM
09-17 11:10:44.067  7810  7810 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:44.078  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:44.078  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:44.078  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:44.078  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:44.078  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:44.078  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:44.078  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:44.078  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:44.078  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:44.078  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:44.078  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:44.078  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:44.081  7631  7631 D AndroidRuntime: Shutting down VM
09-17 11:10:44.083  7810  7810 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:44.084  7837  7837 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:44.092  7837  7837 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:44.100  7634  7634 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:44.101  7634  7634 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:44.101  7634  7634 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:44.101  7634  7634 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:44.101  7634  7634 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:44.106  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:44.106  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:44.106  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:44.106  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:44.106  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:44.106  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:44.106  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:44.106  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:44.106  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:44.106  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:44.106  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:44.106  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:44.108  7750  7750 D AndroidRuntime: Shutting down VM
09-17 11:10:44.117  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:44.117  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:44.117  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:44.117  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:44.117  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:44.117  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:44.117  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:44.117  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:44.117  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:44.117  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:44.117  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:44.117  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:44.119  7551  7551 D AndroidRuntime: Shutting down VM
09-17 11:10:44.134  1559  1559 W WindowManager: removeWindowToken: Attempted to remove non-existing token: android.os.Binder@ed99c88
09-17 11:10:44.136  7634  7634 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:44.138  7940  7940 D su      : su invoked.
09-17 11:10:44.139  7810  7810 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:44.140  7810  7810 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:44.140  7810  7810 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:44.140  7810  7810 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:44.140  7810  7810 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:44.141  7837  7837 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:44.141  7837  7837 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:44.141  7837  7837 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:44.141  7837  7837 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:44.141  7837  7837 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:44.143  7952  7952 D su      : starting daemon client 2000 0
09-17 11:10:44.154  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:44.154  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:44.154  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:44.154  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:44.154  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:44.154  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:44.154  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:44.154  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:44.154  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:44.154  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:44.154  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:44.154  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:44.159  7634  7634 D AndroidRuntime: Shutting down VM
09-17 11:10:44.160  7951  7951 D su      : su invoked.
09-17 11:10:44.164  7810  7810 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:44.165  7955  7955 D su      : connecting client 7939
09-17 11:10:44.170  7967  7967 D su      : starting daemon client 2000 0
09-17 11:10:44.176  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:44.176  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:44.176  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:44.176  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:44.176  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:44.176  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:44.176  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:44.176  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:44.176  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:44.176  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:44.176  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:44.176  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:44.177  7810  7810 D AndroidRuntime: Shutting down VM
09-17 11:10:44.184  7810  7971 W /system/bin/app_process: Thread attaching while runtime is shutting down: Binder:7810_2
09-17 11:10:44.184  7810  7971 I AndroidRuntime: NOTE: attach of thread 'Binder:7810_2' failed
09-17 11:10:44.187  7770  7770 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:44.187  7770  7770 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:44.190  7837  7837 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:44.192  7970  7970 D su      : remote pid: 7939
09-17 11:10:44.193  7969  7969 D su      : connecting client 7947
